cohort_version,resolved_openml_id,openml_version,dataset_name,source_pools,n_rows,n_source_features,n_encoded_features,n_continuous,n_categorical,minority_label,majority_label,n_minority,n_majority,minority_prevalence,treatment_intensity_r,missing_fraction,raw_checksum,semantic_decision,semantic_decision_reason
v1.2,44,1,spambase,openml_cc18,4601,57,57,55,0,1,0,1813,2788,0.3940447728754618,0.5377826806398235,0.0,7f499b0ae622eba831ce38e991682802cbc49deffd96ebcf30c1e6e801fb5840,KEEP,openml_cc18_curated_benchmark_no_semantic_keyword_hits
v1.2,1067,1,kc1,climb;openml_cc18,2109,21,21,17,0,True,False,326,1783,0.1545756282598387,4.469325153374233,0.0,6fecfff679a8168cdf32dd8a3a01a59ec1e2cbd0d8405141a971599450c5c730,KEEP,openml_cc18_curated_benchmark_no_semantic_keyword_hits
v1.2,1489,1,phoneme,climb;openml_cc18,5404,5,5,5,0,2,1,1586,3818,0.2934863064396743,1.4073139974779318,0.0,c6b2d6cce799e15d6629333d542f6ec0a703eade0fa7c0ca22e712520e84fc16,KEEP,ELENA phoneme representation contains no usable speaker/group identifier; conventionally evaluated as IID in tabular benchmarking.
v1.2,40983,2,wilt,climb;openml_cc18,4839,5,5,5,0,2,1,261,4578,0.0539367637941723,16.54022988505747,0.0,caba7c5bbe82e1f0798798eed469aa5ad2721d036d3b86fd0ed0dda0cdfb960e,KEEP,openml_cc18_curated_benchmark_no_semantic_keyword_hits
v1.2,42178,1,telco-customer-churn,climb,7043,19,19,1,16,Yes,No,1869,5174,0.2653698707936959,1.76832530765115,0.0,86fb1c0919c05313b3d5ebbd0b1e3e84aab599a93f02afe2db07bf670a559b81,KEEP,climb_official_list_no_semantic_keyword_hits
v1.2,46911,1,Bank_Customer_Churn,tabarena_v0.1,10000,10,10,2,4,Yes,No,2037,7963,0.2037,2.909180166912126,0.0,85d34457ab9a4dc995e993f4349c502818d23ae27e9d140cea45493b011bc568,KEEP,tabarena_v0.1_curated_iid_no_semantic_keyword_hits
v1.2,46915,4,churn,tabarena_v0.1,5000,19,19,8,4,Yes,No,707,4293,0.1414,5.072135785007073,0.0,fd16427b2e4f30f71a63e54440d5a8be2bc134e3e607b4f0dc15a77bea7c51a9,KEEP,tabarena_v0.1_curated_iid_no_semantic_keyword_hits
v1.2,46921,7,diabetes,tabarena_v0.1,768,8,8,2,0,Yes,No,268,500,0.3489583333333333,0.8656716417910449,0.0,9ccdd95253e038619ce070a0e9ced24e382b413bb139f90e432dff81adc884dd,KEEP,tabarena_v0.1_curated_iid_no_semantic_keyword_hits
v1.2,46927,1,Fitness_Club,tabarena_v0.1,1500,6,7,1,3,Yes,No,454,1046,0.3026666666666666,1.3039647577092517,0.0022222222222222,23d6a9f9a02f0aea50f700b704c2aca324ee96608b2f19dee4decbed28233875,KEEP,tabarena_v0.1_curated_iid_no_semantic_keyword_hits
v1.2,46952,2,qsar-biodeg,tabarena_v0.1,1054,41,41,17,5,Yes,No,355,699,0.3368121442125237,0.9690140845070424,0.0,8788778e74c1ffa3f4b7dc7553e0e55abd964463457187df98aedf2b24fb234f,KEEP,tabarena_v0.1_curated_iid_no_semantic_keyword_hits
